T,k,bid,ask,mid,half_spread
0.769336,-0.200448,0.368291,0.370089,0.36919,0.0008990000000000109
0.769336,-0.14329,0.364834,0.366409,0.3656215,0.0007874999999999965
0.769336,-0.0892226,0.362286,0.363766,0.36302599999999996,0.0007399999999999907
0.769336,-0.0379293,0.360073,0.362459,0.361266,0.0011929999999999996
0.769336,-0.0379293,0.360449,0.362083,0.361266,0.0008169999999999844
0.769336,0.0108609,0.359115,0.361287,0.360201,0.0010860000000000036
0.769336,0.0573809,0.358681,0.360651,0.35966600000000004,0.0009849999999999859
0.769336,0.101833,0.358648,0.360421,0.3595345,0.0008864999999999845
0.769336,0.144392,0.358887,0.360511,0.359699,0.0008120000000000072
0.769336,0.185214,0.359346,0.360818,0.360082,0.0007360000000000144
0.769336,0.224435,0.359999,0.361237,0.360618,0.0006189999999999807
0.769336,0.262175,0.360838,0.361851,0.36134449999999996,0.0005064999999999931
0.769336,0.298543,0.361652,0.362702,0.36217699999999997,0.0005250000000000254
0.769336,0.333634,0.362394,0.363884,0.363139,0.0007449999999999957
0.769336,0.367536,0.363108,0.365326,0.364217,0.0011089999999999989
