T,k,bid,ask
0.769336,0.185214,0.359346,0.360818
0.769336,0.224435,0.359999,0.361237
0.769336,0.262175,0.360838,0.361851
0.769336,0.298543,0.361652,0.362702
0.769336,0.333634,0.362394,0.363884
0.769336,0.367536,0.363108,0.365326
0.769336,0.521686,0.367612,0.37359
0.769336,0.655218,0.371882,0.384334
1.02122,-0.967063,0.452919,0.467678
1.02122,-0.84928,0.437575,0.44744
1.02122,-0.743919,0.421924,0.429031
1.02122,-0.648609,0.409178,0.413445
1.02122,-0.561598,0.398288,0.400871
1.02122,-0.481555,0.388943,0.391069
1.02122,-0.407447,0.381242,0.383501
1.02122,-0.338454,0.375264,0.377614
1.02122,-0.273916,0.37074,0.373011
1.02122,-0.213291,0.367358,0.36944
1.02122,-0.156133,0.364791,0.366757
1.02122,-0.102066,0.362761,0.364842
1.02122,-0.0507723,0.360875,0.36393
1.02122,-0.0507723,0.361256,0.363549
1.02122,-0.00198215,0.360083,0.362833
1.02122,0.0445378,0.359692,0.362111
1.02122,0.0889896,0.359579,0.361708
1.02122,0.131549,0.359633,0.361594
1.02122,0.172371,0.359829,0.361718
1.02122,0.211592,0.360153,0.36199
1.02122,0.249332,0.360599,0.3624
1.02122,0.2857,0.361155,0.362914
1.02122,0.320791,0.361701,0.36362
1.02122,0.354693,0.362168,0.364571
1.02122,0.508843,0.364134,0.370674
1.02122,0.642375,0.367637,0.378614
1.27036,-0.980433,0.443477,0.454663
1.27036,-0.86265,0.429406,0.436143
1.27036,-0.75729,0.415683,0.42035
1.27036,-0.66198,0.404798,0.407328
1.27036,-0.574968,0.395216,0.397026
1.27036,-0.494925,0.387008,0.388909
1.27036,-0.420818,0.380491,0.382625
1.27036,-0.351825,0.375437,0.377728
1.27036,-0.287286,0.371637,0.37391
1.27036,-0.226661,0.368772,0.370999
1.27036,-0.169503,0.366597,0.368736
1.27036,-0.115436,0.364924,0.367064
1.27036,-0.0641426,0.363347,0.366275
1.27036,-0.0641426,0.363662,0.365959
1.27036,-0.0153524,0.362768,0.365296
1.27036,0.0311676,0.362498,0.364692
1.27036,0.0756194,0.362462,0.364379
1.27036,0.118179,0.362594,0.364316
1.27036,0.159001,0.362821,0.364475
1.27036,0.198222,0.36316,0.364789
1.27036,0.235962,0.363554,0.365213
1.27036,0.27233,0.364071,0.365726
1.27036,0.307421,0.364659,0.366316
1.27036,0.341323,0.36528,0.367003
1.27036,0.495473,0.368411,0.37188
1.27036,0.629005,0.371271,0.378984
1.36619,-0.985383,0.436868,0.449771
1.36619,-0.8676,0.423586,0.431803
1.36619,-0.762239,0.410905,0.416527
1.36619,-0.666929,0.400729,0.404184
1.36619,-0.579918,0.39185,0.394489
1.36619,-0.499875,0.384451,0.386702
1.36619,-0.425767,0.378563,0.380651
1.36619,-0.356774,0.373933,0.375931
1.36619,-0.292236,0.370353,0.37225
1.36619,-0.231611,0.367534,0.369449
1.36619,-0.174453,0.365461,0.367154
1.36619,-0.120386,0.363835,0.365461
1.36619,-0.0690922,0.361847,0.365044
1.36619,-0.0690922,0.362575,0.364316
1.36619,-0.0203021,0.361267,0.36403
1.36619,0.0262179,0.360981,0.36338
1.36619,0.0706697,0.360932,0.363035
1.36619,0.113229,0.361041,0.362959
1.36619,0.154051,0.361291,0.363115
1.36619,0.193272,0.361668,0.363388
1.36619,0.231012,0.362139,0.363865
1.36619,0.26738,0.36273,0.364453
1.36619,0.302471,0.363396,0.365154
1.36619,0.336373,0.364114,0.365967
1.36619,0.490524,0.368106,0.371293
1.36619,0.624055,0.371895,0.378632
1.51951,-0.99325,0.434569,0.445234
1.51951,-0.875467,0.422075,0.429077
1.51951,-0.770106,0.410254,0.41533
1.51951,-0.674796,0.400929,0.403954
